roastery,coffee_name,origin,region,variety,process,altitude,harvest_year
Bar Nine,Half Caff Blend,Blend,Various,Various,Various,Various,2024
Bar Nine,Ethiopia Konga,Ethiopia,Yirgacheffe,Heirloom,Natural,"1,800-2,000m",2024
Bar Nine,Colombia Planadas,Colombia,Tolima,Caturra,Washed,"1,700m",2024
Cafecito Organico,Mexico Chiapas,Mexico,Chiapas,Typica,Washed,"1,500-1,700m",2024
Cafecito Organico,Peru Cajamarca,Peru,Cajamarca,Bourbon,Washed,"1,600-1,800m",2024
Cafecito Organico,Nicaragua Matagalpa,Nicaragua,Matagalpa,Caturra,Washed,"1,200-1,500m",2024
Bodhi Leaf Coffee Traders,Buddha's Cup,Blend,Various,Various,Various,Various,2024
Bodhi Leaf Coffee Traders,Ethiopia Limu,Ethiopia,Limu,Heirloom,Washed,"1,500-2,100m",2024
Bodhi Leaf Coffee Traders,India Monsooned Malabar,India,Malabar Coast,Kent,Monsooned,"1,000-1,500m",2024
Unincorporated Coffee,Ethiopia Bensa,Ethiopia,Sidama,Heirloom,Natural,"2,000-2,200m",2024
Unincorporated Coffee,Colombia Geisha Mandela,Colombia,Quindio,Geisha,Natural,"1,900m",2024
Unincorporated Coffee,Kenya Gaturiri,Kenya,Nyeri,"SL28, SL34",Washed,"1,700-1,800m",2024
Ragamuffin Coffee Roasters,Ethiopia Aricha,Ethiopia,Aricha,Heirloom,Natural,"1,900-2,100m",2024
Ragamuffin Coffee Roasters,Colombia La Serrania,Colombia,Huila,Pink Bourbon,Washed,"1,800m",2024
Ragamuffin Coffee Roasters,Guatemala El Socorro,Guatemala,Palencia,Bourbon,Washed,"1,500-1,675m",2024
Regent Coffee,Ethiopia Guji Uraga,Ethiopia,Guji,Heirloom,Natural,"2,000-2,200m",2024
Regent Coffee,Barrel Aged Colombia,Colombia,Nariño,Castillo,Washed - Barrel Aged,"1,800m",2024
Regent Coffee,Kenya Kiambu PB,Kenya,Kiambu,"SL28, SL34",Washed,"1,600-1,800m",2024
LaB Coffee & Roasters,House Espresso,Blend,Various,Various,Various,Various,2024
LaB Coffee & Roasters,Ethiopia Kochere,Ethiopia,Kochere,Heirloom,Washed,"1,800-2,000m",2024
LaB Coffee & Roasters,Colombia Supremo,Colombia,Huila,Caturra,Washed,"1,700-1,900m",2024
Boxx Coffee Roasters,Signature Blend,Blend,Various,Various,Various,Various,2024
Boxx Coffee Roasters,Guatemala Antigua,Guatemala,Antigua,Bourbon,Washed,"1,500-1,700m",2024
Boxx Coffee Roasters,Ethiopia Natural,Ethiopia,Sidama,Heirloom,Natural,"1,850-2,000m",2024
Tectonic Coffee,Ethiopia Yirgacheffe,Ethiopia,Yirgacheffe,Heirloom,Washed,"1,900-2,100m",2024
Tectonic Coffee,Colombia Geisha,Colombia,Quindio,Geisha,Natural,"1,900m",2024
Tectonic Coffee,Costa Rica Honey,Costa Rica,Central Valley,Villa Sarchi,Honey,"1,500m",2024
Mad Lab Coffee,Mad Science Blend,Blend,Various,Various,Various,Various,2024
Mad Lab Coffee,Ethiopia Guji,Ethiopia,Guji,Heirloom,Natural,"2,000-2,200m",2024
Mad Lab Coffee,Colombia Huila,Colombia,Huila,Pink Bourbon,Washed,"1,700m",2024
Dolce Vita Coffee,Italian Roast,Blend,Various,Various,Various,Various,2024
Dolce Vita Coffee,Ethiopia Sidamo,Ethiopia,Sidamo,Heirloom,Natural,"1,850-2,000m",2024
Dolce Vita Coffee,Brazil Santos,Brazil,Santos,Yellow Bourbon,Natural,"900-1,200m",2024
Steve's Coffee Roaster,Morning Blend,Blend,Various,Various,Various,Various,2024
Steve's Coffee Roaster,Kenya AA,Kenya,Nyeri,"SL28, SL34",Washed,"1,700-1,800m",2024
Steve's Coffee Roaster,Guatemala SHB,Guatemala,Huehuetenango,Bourbon,Washed,"1,500-2,000m",2024
Andante Coffee Roasters,Symphony Blend,Blend,Various,Various,Various,Various,2024
Andante Coffee Roasters,Ethiopia Worka,Ethiopia,Gedeb,Heirloom,Natural,"2,000-2,200m",2024
Andante Coffee Roasters,Colombia Geisha,Colombia,Nariño,Geisha,Washed,"1,800m",2024
Lord Windsor Coffee,Royal Blend,Blend,Various,Various,Various,Various,2024
Lord Windsor Coffee,Ethiopia Guji,Ethiopia,Guji,Heirloom,Natural,"2,000-2,200m",2024
Lord Windsor Coffee,Kenya Kiambu,Kenya,Kiambu,"SL28, SL34",Washed,"1,600-1,800m",2024
Goodboybob Coffee,Santa Monica Blend,Blend,Various,Various,Various,Various,2024
Goodboybob Coffee,Ethiopia Natural,Ethiopia,Sidama,Heirloom,Natural,"1,850-2,000m",2024
Goodboybob Coffee,Colombia Pink Bourbon,Colombia,Huila,Pink Bourbon,Washed,"1,700m",2024
Offset Coffee,Guatemala Manos de Mujer,Guatemala,Huehuetenango,Bourbon,Washed,"1,500-1,800m",2024
Offset Coffee,Ethiopia Yirgacheffe,Ethiopia,Yirgacheffe,Heirloom,Washed,"1,900-2,100m",2024
Offset Coffee,Colombia Geisha,Colombia,Nariño,Geisha,Natural,"1,800m",2024
Forge Coffee Roaster,El Salvador Santa Ana,El Salvador,Santa Ana,Bourbon,Washed,"1,400-1,600m",2024
Forge Coffee Roaster,Ethiopia Guji,Ethiopia,Guji,Heirloom,Natural,"2,000-2,200m",2024
Forge Coffee Roaster,Colombia Huila,Colombia,Huila,Caturra,Washed,"1,700-1,900m",2024
House Roots Coffee,818 Blend,Blend,Various,Various,Various,Various,2024
House Roots Coffee,Ethiopia Sidamo,Ethiopia,Sidama,Heirloom,Natural,"1,850-2,000m",2024
House Roots Coffee,Guatemala Antigua,Guatemala,Antigua,Bourbon,Washed,"1,500-1,700m",2024
Yes Plz Coffee,Weekly Selection #50,Colombia,Huila,Pink Bourbon,Washed,"1,700m",2024
Yes Plz Coffee,Weekly Selection #51,Ethiopia,Yirgacheffe,Heirloom,Natural,"1,900-2,100m",2024
Yes Plz Coffee,Weekly Selection #52,Kenya,Nyeri,"SL28, SL34",Washed,"1,700-1,800m",2024
Copa Vida,House Espresso,Blend,Various,Various,Various,Various,2024
Copa Vida,Ethiopia Natural,Ethiopia,Sidama,Heirloom,Natural,"1,850-2,000m",2024
Copa Vida,Colombia Geisha,Colombia,Quindio,Geisha,Washed,"1,900m",2024
